BndEquGlat BndEquMlat BndEquMlon BndGlon BndPolGlat BndPolMlat BndPolMlon date minTecGlat minTecMlat minTecMlon minTecVal
37.0 46.980797097 -35.3733912747 -103.0 44.0 53.7905496606 -36.2513290786 "2011-02-05 02:57:30" 39.0 48.9207805868 -35.6087303211 2.9
47.0 56.9852180433 -33.9961117617 -101.0 52.0 61.8239823577 -34.7610660423 "2011-02-05 02:57:30" 49.0 58.926133064 -34.2795520401 2.35
45.0 55.6246711875 0.142500386423 -77.0 52.0 62.331455598 0.656300522131 "2011-02-05 02:57:30" 49.0 59.4589370842 0.436561296021 1.7
45.0 55.5253459344 1.54008877643 -76.0 52.0 62.2412341368 2.10409853293 "2011-02-05 02:57:30" 49.0 59.3644164791 1.8602211423 2.1
42.0 52.7134696401 -26.6877098169 -96.0 51.0 61.3826853962 -27.47353809 "2011-02-05 02:57:30" 48.0 58.5000934984 -27.1639288285 2.3
44.0 53.9297811006 8.2858294209 -71.0 50.0 59.7372199042 8.93649500016 "2011-02-05 02:57:30" 48.0 57.7987726386 8.71105934293 2.6
49.0 54.4088039615 35.4847294086 -49.0 58.0 63.829698386 37.7768266155 "2011-02-05 02:57:30" 52.0 57.5941635727 36.0959732716 2.1
44.0 54.9718177244 -5.5671799041 -81.0 57.0 67.3289743913 -5.05653035804 "2011-02-05 02:57:30" 50.0 60.7017264457 -5.29859375726 2.3
43.0 54.0700411516 -7.03301614676 -82.0 57.0 67.371273122 -6.60174553748 "2011-02-05 02:57:30" 54.0 64.5493722226 -6.66106484528 3.1
42.0 51.1342978707 14.6142883195 -66.0 53.0 61.9132352051 16.0787792662 "2011-02-05 02:57:30" 47.0 56.0239822182 15.2129059761 2.7
38.0 47.0605414466 15.444293063 -65.0 53.0 61.7509328354 17.3904968213 "2011-02-05 02:57:30" 48.0 56.8280904875 16.6302266564 3.0
43.0 51.5003958411 18.5116919649 -63.0 54.0 62.3983016769 20.1562369673 "2011-02-05 02:57:30" 48.0 56.4541801549 19.1623776252 1.85
55.0 53.0318438042 82.4678416923 3.0 65.0 63.8700736261 87.3157659315 "2011-02-05 02:57:30" 63.0 61.7799318719 86.10849064 2.5
52.0 49.3292196081 85.6347868064 8.0 62.0 60.3748066247 89.604273382 "2011-02-05 02:57:30" 59.0 57.1727140124 88.1828147046 2.0
39.0 47.4018895081 -46.5229946282 -112.0 55.0 63.0915003243 -50.3255471746 "2011-02-05 02:57:30" 43.0 51.3275431028 -47.3198099837 2.3
47.0 56.8538999706 -35.3480570403 -102.0 52.0 61.7001138998 -36.1611779408 "2011-02-05 02:57:30" 49.0 58.7977892487 -35.6502647565 2.7
38.0 46.6034173284 -45.1710409389 -111.0 48.0 56.4240916494 -47.1882732235 "2011-02-05 02:57:30" 43.0 51.5058998602 -46.1217750719 2.6
54.0 51.4182949865 91.3512139519 14.0 63.0 61.0722945338 95.0141577259 "2011-02-05 02:57:30" 57.0 54.7163471825 92.3775333278 1.7
55.0 52.8099001629 85.7806156291 7.0 64.0 62.5354356313 89.8977403308 "2011-02-05 02:57:30" 62.0 60.4396526003 88.7927319807 2.5
54.0 51.3916535391 92.2084710348 15.0 62.0 59.9825968659 95.3324999591 "2011-02-05 02:57:30" 57.0 54.6789535418 93.2232760127 1.7
54.0 57.6857078787 -76.0245941165 -135.0 60.0 63.6085747705 -78.7423302573 "2011-02-05 03:27:30" 57.0 60.6524742669 -77.2898203331 3.3
54.0 58.2903689115 -72.9673649653 -132.0 61.0 65.168867469 -76.213525535 "2011-02-05 03:27:30" 56.0 60.2640550837 -73.7882166686 2.55
55.0 59.4783493598 -72.32960855 -131.0 60.0 64.3880310266 -74.6288302871 "2011-02-05 03:27:30" 57.0 61.4482123197 -73.1829106331 2.2
55.0 59.6788667692 -71.2793036622 -130.0 61.0 65.5550653566 -74.1089108893 "2011-02-05 03:27:30" 57.0 61.6468745158 -72.1293303463 2.95
43.0 48.0856513837 -66.1715354209 -129.0 53.0 57.9078316345 -69.4396151257 "2011-02-05 03:27:30" 51.0 55.9350773643 -68.7142778635 2.6
45.0 50.8302287567 -62.5324590864 -125.0 50.0 55.7506948934 -64.0733415802 "2011-02-05 03:27:30" 48.0 53.7797810945 -63.4338877294 1.8
45.0 51.0267897975 -61.4532114691 -124.0 50.0 55.9491158416 -62.974737736 "2011-02-05 03:27:30" 48.0 53.9778906106 -62.3430505996 1.8
45.0 51.2225376688 -60.3651389583 -123.0 50.0 56.1465366067 -61.865727055 "2011-02-05 03:27:30" 48.0 54.1750704371 -61.2424482135 1.8
45.0 51.417404587 -59.2680098369 -122.0 51.0 57.328354924 -61.0672490999 "2011-02-05 03:27:30" 49.0 55.3570123314 -60.4346022721 2.0
43.0 49.6464759945 -57.6259958061 -121.0 57.0 63.4024747183 -62.109494298 "2011-02-05 03:27:30" 49.0 55.5521357006 -59.3089297724 1.8
48.0 54.7600372505 -57.8797154721 -120.0 56.0 62.6185779531 -60.5320157881 "2011-02-05 03:27:30" 51.0 57.7166984613 -58.7850643658 1.35
47.0 53.9665520487 -56.4582380909 -119.0 55.0 61.8319333277 -58.9712417614 "2011-02-05 03:27:30" 50.0 56.9238585296 -57.3209517632 1.1
52.0 51.2682832614 65.9678798682 -16.0 65.0 65.7918328728 72.0621844254 "2011-02-05 03:27:30" 55.0 54.8279219273 66.9894770269 0.6
43.0 52.4754354606 12.1445215829 -68.0 51.0 60.2730361449 13.1223795028 "2011-02-05 03:27:30" 48.0 57.3436624161 12.7293904784 2.15
43.0 52.2955019188 13.4423446082 -67.0 52.0 61.0938817384 14.5982193306 "2011-02-05 03:27:30" 48.0 57.1781809247 14.0430883775 1.8
43.0 52.1078428692 14.7282523449 -66.0 56.0 64.8376207741 16.61301946 "2011-02-05 03:27:30" 48.0 57.0062388801 15.3434415534 1.8
53.0 50.2562243937 92.7684299163 16.0 62.0 59.9349057939 96.1587524866 "2011-02-05 03:27:30" 59.0 56.783721456 94.8364076073 1.2
56.0 53.5308501651 94.5751028014 17.0 63.0 60.9235771645 97.4783906422 "2011-02-05 03:27:30" 59.0 56.7447996084 95.6789767545 1.3
57.0 54.5793266498 95.7773494682 18.0 62.0 59.8453527656 97.8180417455 "2011-02-05 03:27:30" 60.0 57.7606977877 96.930423641 1.4
57.0 54.5500712661 96.6344878581 19.0 62.0 59.8034007003 98.6512200155 "2011-02-05 03:27:30" 60.0 57.7231439574 97.7735472811 1.5
