dst_med BndMlon BndEquMlat BndEquTecVal BndPolMlat BndPolTecVal minTecMlat minTecVal BndMLT BndNormMLT
-18.0 299.19 53.89 7.24 62.99 7.4 58.4 4.66 22.3 -1.7
-36.0 275.7 52.79 7.01 62.06 6.82 57.45 4.13 22.3 -1.7
-57.0 269.61 52.02 8.95 61.64 7.3 57.12 4.79 22.3 -1.7
-5.0 285.49 54.1 6.51 63.38 7.11 58.68 4.15 22.4 -1.6
-95.0 256.7 49.82 11.04 59.43 8.15 54.5 5.04 22.4 -1.6
-18.0 301.09 53.88 7.22 62.95 7.3 58.39 4.66 22.4 -1.6
-36.0 270.15 52.74 7.02 62.09 6.85 57.44 4.14 22.4 -1.6
-57.0 261.26 52.19 8.88 61.56 7.18 57.24 4.77 22.4 -1.6
-5.0 285.61 53.91 6.43 63.17 7.23 58.35 4.16 22.5 -1.5
-95.0 255.67 49.58 10.93 59.11 8.07 54.26 5.02 22.5 -1.5
-18.0 300.51 53.73 7.22 62.92 7.4 58.27 4.67 22.5 -1.5
-36.0 268.51 52.83 7.0 62.14 6.8 57.5 4.09 22.5 -1.5
-57.0 256.12 52.09 9.08 61.59 7.4 57.21 4.99 22.5 -1.5
-5.0 285.5 53.47 6.59 63.28 7.35 58.25 4.28 22.6 -1.4
-95.0 256.04 49.28 10.89 58.88 8.25 53.98 5.12 22.6 -1.4
-18.0 301.7 53.7 7.13 62.99 7.3 58.25 4.64 22.6 -1.4
-36.0 266.15 52.72 7.0 62.07 6.82 57.43 4.09 22.6 -1.4
-57.0 242.88 52.01 9.05 61.49 7.37 57.06 4.95 22.6 -1.4
-5.0 287.91 53.33 6.46 63.44 7.33 58.15 4.21 22.7 -1.3
-95.0 263.52 49.16 10.59 58.66 8.27 53.79 4.92 22.7 -1.3
-18.0 301.84 53.7 7.16 62.96 7.35 58.21 4.65 22.7 -1.3
-36.0 259.16 52.53 7.1 62.0 6.77 57.29 4.14 22.7 -1.3
-57.0 244.17 52.14 9.11 61.73 7.57 57.09 4.98 22.7 -1.3
-5.0 285.44 53.28 6.22 62.96 7.05 57.87 4.1 22.8 -1.2
-95.0 269.54 49.27 10.79 58.95 8.13 54.04 5.13 22.8 -1.2
-18.0 303.93 53.68 7.15 63.01 7.34 58.23 4.63 22.8 -1.2
-36.0 257.06 52.54 7.13 62.06 6.86 57.31 4.15 22.8 -1.2
-57.0 245.48 52.03 9.12 61.45 7.49 56.87 4.91 22.8 -1.2
-5.0 289.21 53.06 6.28 62.67 7.0 57.73 4.09 22.9 -1.1
-95.0 264.75 49.49 10.35 58.87 7.64 54.18 5.05 22.9 -1.1
-18.0 301.18 53.43 7.23 62.84 7.24 58.09 4.62 22.9 -1.1
-36.0 257.57 52.53 7.05 62.02 6.75 57.29 4.08 22.9 -1.1
-57.0 237.04 51.78 9.21 61.45 7.74 56.64 4.98 22.9 -1.1
-5.0 286.45 53.02 6.36 62.65 6.97 57.67 4.14 23.0 -1.0
-95.0 278.37 49.43 10.16 58.76 7.89 54.0 5.04 23.0 -1.0
-18.0 301.29 53.47 7.21 62.88 7.3 58.14 4.65 23.0 -1.0
-36.0 252.89 52.48 7.1 61.89 6.8 57.16 4.13 23.0 -1.0
-57.0 223.96 51.8 9.22 61.29 7.61 56.71 4.98 23.0 -1.0
-5.0 292.06 52.91 6.3 62.63 6.92 57.6 4.12 23.1 -0.9
-95.0 275.15 49.05 10.22 58.67 7.95 53.65 5.06 23.1 -0.9
-18.0 300.38 53.41 7.27 62.94 7.39 58.14 4.7 23.1 -0.9
-36.0 247.91 52.49 7.09 61.93 6.89 57.21 4.12 23.1 -0.9
-57.0 220.34 52.31 8.98 61.5 7.47 57.12 4.89 23.1 -0.9
-5.0 289.33 52.79 6.27 62.47 6.84 57.52 4.08 23.2 -0.8
-95.0 275.07 49.17 10.01 58.26 7.75 53.75 4.98 23.2 -0.8
-18.0 302.73 53.37 7.2 62.96 7.3 58.16 4.64 23.2 -0.8
-36.0 246.77 52.54 7.15 61.84 6.8 57.26 4.12 23.2 -0.8
-57.0 224.2 51.97 9.13 61.13 7.39 56.82 4.9 23.2 -0.8
-5.0 291.77 52.7 6.37 62.46 6.87 57.55 4.16 23.3 -0.7
-95.0 278.67 49.21 9.97 58.23 7.62 53.72 4.84 23.3 -0.7
-18.0 302.6 53.46 7.2 62.97 7.44 58.18 4.66 23.3 -0.7
-36.0 243.64 52.43 7.13 61.86 6.72 57.27 4.05 23.3 -0.7
-57.0 209.4 51.84 9.16 61.36 7.53 56.88 4.99 23.3 -0.7
-5.0 292.29 52.97 6.3 62.58 6.82 57.68 4.16 23.4 -0.6
-95.0 279.88 48.62 10.16 57.67 7.96 53.06 4.98 23.4 -0.6
-18.0 299.89 53.38 7.29 63.05 7.37 58.2 4.65 23.4 -0.6
-36.0 242.8 52.28 7.14 61.84 6.88 57.13 4.09 23.4 -0.6
-57.0 208.89 51.85 9.08 61.24 7.46 56.79 4.98 23.4 -0.6
-5.0 292.22 53.03 6.31 62.66 6.96 57.76 4.18 23.5 -0.5
-95.0 270.49 48.6 10.13 57.7 7.77 53.2 4.91 23.5 -0.5
-18.0 299.07 53.35 7.31 62.83 7.39 58.09 4.69 23.5 -0.5
